 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 7.20000000e-02  2.50000000e-01  7.20000000e-02  4.08936592e-01 
 7.30000000e-02  2.50000000e-01  7.30000000e-02  4.08961886e-01 
 7.40000000e-02  2.50000000e-01  7.40000000e-02  4.08994388e-01 
 7.50000000e-02  2.50000000e-01  7.50000000e-02  4.09009592e-01 
 7.60000000e-02  2.50000000e-01  7.60000000e-02  4.09030853e-01 
 7.70000000e-02  2.50000000e-01  7.70000000e-02  4.09055784e-01 
 7.80000000e-02  2.50000000e-01  7.80000000e-02  4.09094162e-01 
 7.90000000e-02  2.50000000e-01  7.90000000e-02  4.09119074e-01 
 8.00000000e-02  2.50000000e-01  8.00000000e-02  4.09147260e-01 
 8.10000000e-02  2.50000000e-01  8.10000000e-02  4.09187201e-01 
 8.20000000e-02  2.50000000e-01  8.20000000e-02  4.09207918e-01 
 8.30000000e-02  2.50000000e-01  8.30000000e-02  4.09235925e-01 
 8.40000000e-02  2.50000000e-01  8.40000000e-02  4.09270654e-01 
 8.50000000e-02  2.50000000e-01  8.50000000e-02  4.09301944e-01 
 8.60000000e-02  2.50000000e-01  8.60000000e-02  4.09345184e-01 
 8.70000000e-02  2.50000000e-01  8.70000000e-02  4.09371249e-01 
 8.80000000e-02  2.50000000e-01  8.80000000e-02  4.09420205e-01 
 8.90000000e-02  2.50000000e-01  8.90000000e-02  4.09454305e-01 
 9.00000000e-02  2.50000000e-01  9.00000000e-02  4.09480612e-01 
 9.10000000e-02  2.50000000e-01  9.10000000e-02  4.09527769e-01 
 9.20000000e-02  2.50000000e-01  9.20000000e-02  4.09562369e-01 
 9.30000000e-02  2.50000000e-01  9.30000000e-02  4.09608741e-01 
 9.40000000e-02  2.50000000e-01  9.40000000e-02  4.09651012e-01 
 9.50000000e-02  2.50000000e-01  9.50000000e-02  4.09690360e-01 
 9.60000000e-02  2.50000000e-01  9.60000000e-02  4.09743546e-01 
 9.70000000e-02  2.50000000e-01  9.70000000e-02  4.09783406e-01 
 9.80000000e-02  2.50000000e-01  9.80000000e-02  4.09834495e-01 
 9.90000000e-02  2.50000000e-01  9.90000000e-02  4.09879542e-01 
 1.00000000e-01  2.50000000e-01  1.00000000e-01  4.09932831e-01 
 1.01000000e-01  2.50000000e-01  1.01000000e-01  4.09981001e-01 
 1.02000000e-01  2.50000000e-01  1.02000000e-01  4.10031102e-01 
 1.03000000e-01  2.50000000e-01  1.03000000e-01  4.10085006e-01 
 1.04000000e-01  2.50000000e-01  1.04000000e-01  4.10138397e-01 
 1.05000000e-01  2.50000000e-01  1.05000000e-01  4.10198734e-01 
 1.06000000e-01  2.50000000e-01  1.06000000e-01  4.10256269e-01 
 1.07000000e-01  2.50000000e-01  1.07000000e-01  4.10312496e-01 
 1.08000000e-01  2.50000000e-01  1.08000000e-01  4.10381869e-01 
 1.09000000e-01  2.50000000e-01  1.09000000e-01  4.10437047e-01 
 1.10000000e-01  2.50000000e-01  1.10000000e-01  4.10511327e-01 
 1.11000000e-01  2.50000000e-01  1.11000000e-01  4.10570418e-01 
 1.12000000e-01  2.50000000e-01  1.12000000e-01  4.10631728e-01 
 1.13000000e-01  2.50000000e-01  1.13000000e-01  4.10712901e-01 
 1.14000000e-01  2.50000000e-01  1.14000000e-01  4.10784685e-01 
 1.15000000e-01  2.50000000e-01  1.15000000e-01  4.10856318e-01 
 1.16000000e-01  2.50000000e-01  1.16000000e-01  4.10935583e-01 
 1.17000000e-01  2.50000000e-01  1.17000000e-01  4.11010957e-01 
 1.18000000e-01  2.50000000e-01  1.18000000e-01  4.11093807e-01 
 1.19000000e-01  2.50000000e-01  1.19000000e-01  4.11168436e-01 
 1.20000000e-01  2.50000000e-01  1.20000000e-01  4.11259929e-01 
 1.21000000e-01  2.50000000e-01  1.21000000e-01  4.11347248e-01 
 1.22000000e-01  2.50000000e-01  1.22000000e-01  4.11440981e-01 
