 frequency       db(v(VOUT))     180*cph(v(VOUT))/pi
 1.25892541e+05 -5.25195070e-01 -2.02057844e+01 
 1.41253754e+05 -6.50044413e-01 -2.24578254e+01 
 1.58489319e+05 -8.02286219e-01 -2.49080259e+01 
 1.77827941e+05 -9.86662334e-01 -2.75563468e+01 
 1.99526231e+05 -1.20818109e+00 -3.03970461e+01 
 2.23872114e+05 -1.47190394e+00 -3.34176856e+01 
 2.51188643e+05 -1.78266149e+00 -3.65985332e+01 
 2.81838293e+05 -2.14471928e+00 -3.99125893e+01 
 3.16227766e+05 -2.56143168e+00 -4.33264104e+01 
 3.54813389e+05 -3.03493685e+00 -4.68017789e+01 
 3.98107171e+05 -3.56594785e+00 -5.02980841e+01 
 4.46683592e+05 -4.15368203e+00 -5.37751106e+01 
 5.01187234e+05 -4.79594364e+00 -5.71958145e+01 
 5.62341325e+05 -5.48934265e+00 -6.05286776e+01 
 6.30957344e+05 -6.22960638e+00 -6.37493417e+01 
 7.07945784e+05 -7.01192856e+00 -6.68414042e+01 
 7.94328235e+05 -7.83130404e+00 -6.97964348e+01 
 8.91250938e+05 -8.68281143e+00 -7.26133919e+01 
 1.00000000e+06 -9.56182555e+00 -7.52976713e+01 
 1.12201845e+06 -1.04641573e+01 -7.78600042e+01 
 1.25892541e+06 -1.13861297e+01 -8.03153745e+01 
 1.41253754e+06 -1.23246062e+01 -8.26820679e+01 
 1.58489319e+06 -1.32769841e+01 -8.49809068e+01 
 1.77827941e+06 -1.42411700e+01 -8.72346924e+01 
 1.99526231e+06 -1.52155465e+01 -8.94678447e+01 
 2.23872114e+06 -1.61989396e+01 -9.17062281e+01 
 2.51188643e+06 -1.71905922e+01 -9.39771406e+01 
 2.81838293e+06 -1.81901488e+01 -9.63094576e+01 
 3.16227766e+06 -1.91976568e+01 -9.87339258e+01 
 3.54813389e+06 -2.02135882e+01 -1.01283621e+02 
 3.98107171e+06 -2.12388944e+01 -1.03994591e+02 
 4.46683592e+06 -2.22751115e+01 -1.06906708e+02 
 5.01187234e+06 -2.33245441e+01 -1.10064676e+02 
 5.62341325e+06 -2.43905693e+01 -1.13519009e+02 
 6.30957344e+06 -2.54780731e+01 -1.17326435e+02 
 7.07945784e+06 -2.65939413e+01 -1.21549049e+02 
