 frequency       db(v(VOUT))     180*cph(v(VOUT))/pi
 1.25892541e+05 -2.39596033e-01 -1.39349259e+01 
 1.41253754e+05 -2.98951077e-01 -1.55668383e+01 
 1.58489319e+05 -3.72542018e-01 -1.73714179e+01 
 1.77827941e+05 -4.63453024e-01 -1.93600783e+01 
 1.99526231e+05 -5.75268313e-01 -2.15424968e+01 
 2.23872114e+05 -7.12071404e-01 -2.39256437e+01 
 2.51188643e+05 -8.78401355e-01 -2.65126667e+01 
 2.81838293e+05 -1.07915085e+00 -2.93017089e+01 
 3.16227766e+05 -1.31939408e+00 -3.22848029e+01 
 3.54813389e+05 -1.60414074e+00 -3.54470372e+01 
 3.98107171e+05 -1.93802641e+00 -3.87662241e+01 
 4.46683592e+05 -2.32496811e+00 -4.22132827e+01 
 5.01187234e+05 -2.76783088e+00 -4.57534627e+01 
 5.62341325e+05 -3.26816127e+00 -4.93483780e+01 
 6.30957344e+05 -3.82603905e+00 -5.29586354e+01 
 7.07945784e+05 -4.44007814e+00 -5.65466901e+01 
 7.94328235e+05 -5.10757786e+00 -6.00794981e+01 
 8.91250938e+05 -5.82479377e+00 -6.35305958e+01 
 1.00000000e+06 -6.58727796e+00 -6.68813829e+01 
 1.12201845e+06 -7.39023309e+00 -7.01215804e+01 
 1.25892541e+06 -8.22883448e+00 -7.32489813e+01 
 1.41253754e+06 -9.09849163e+00 -7.62687097e+01 
 1.58489319e+06 -9.99503872e+00 -7.91922180e+01 
 1.77827941e+06 -1.09148592e+01 -8.20362258e+01 
 1.99526231e+06 -1.18549564e+01 -8.48217422e+01 
 2.23872114e+06 -1.28129883e+01 -8.75732606e+01 
 2.51188643e+06 -1.37872806e+01 -9.03181689e+01 
 2.81838293e+06 -1.47768365e+01 -9.30863860e+01 
 3.16227766e+06 -1.57813535e+01 -9.59102276e+01 
 3.54813389e+06 -1.68012627e+01 -9.88244983e+01 
 3.98107171e+06 -1.78378077e+01 -1.01866814e+02 
 4.46683592e+06 -1.88931879e+01 -1.05078145e+02 
 5.01187234e+06 -1.99708043e+01 -1.08503497e+02 
 5.62341325e+06 -2.10756571e+01 -1.12192466e+02 
 6.30957344e+06 -2.22149206e+01 -1.16199070e+02 
 7.07945784e+06 -2.33986371e+01 -1.20580104e+02 
 7.94328235e+06 -2.46403550e+01 -1.25391913e+02 
 8.91250938e+06 -2.59575981e+01 -1.30687234e+02 
 1.00000000e+07 -2.73724708e+01 -1.36514338e+02 
 1.12201845e+07 -2.89130942e+01 -1.42917820e+02 
 1.25892541e+07 -3.06163224e+01 -1.49936165e+02 
 1.41253754e+07 -3.25315403e+01 -1.57591250e+02 
 1.58489319e+07 -3.47252250e+01 -1.65869772e+02 
 1.77827941e+07 -3.72868955e+01 -1.74702953e+02 
 1.99526231e+07 -4.03397781e+01 -1.83960534e+02 
 2.23872114e+07 -4.40677927e+01 -1.93500011e+02 
 2.51188643e+07 -4.88007394e+01 -2.03406266e+02 
 2.81838293e+07 -5.53484286e+01 -2.15215056e+02 
 3.16227766e+07 -6.68320602e+01 -2.47105301e+02 
 3.54813389e+07 -6.55928977e+01 -3.65710152e+02 
 3.98107171e+07 -6.02197987e+01 -3.81551541e+02 
 4.46683592e+07 -5.81465508e+01 -3.84362821e+02 
 5.01187234e+07 -5.71322995e+01 -3.83534990e+02 
 5.62341325e+07 -5.65113880e+01 -3.81148013e+02 
 6.30957344e+07 -5.60398287e+01 -3.78288207e+02 
 7.07945784e+07 -5.56384951e+01 -3.75561906e+02 
 7.94328235e+07 -5.52909122e+01 -3.73223384e+02 
 8.91250938e+07 -5.49967478e+01 -3.71312264e+02 
 1.00000000e+08 -5.47551159e+01 -3.69772602e+02 
 1.12201845e+08 -5.45615417e+01 -3.68524446e+02 
 1.25892541e+08 -5.44092288e+01 -3.67495425e+02 
 1.41253754e+08 -5.42907626e+01 -3.66629808e+02 
 1.58489319e+08 -5.41992225e+01 -3.65887853e+02 
 1.77827941e+08 -5.41286866e+01 -3.65242198e+02 
 1.99526231e+08 -5.40743457e+01 -3.64674126e+02 
 2.23872114e+08 -5.40324178e+01 -3.64170616e+02 
 2.51188643e+08 -5.39999857e+01 -3.63722277e+02 
 2.81838293e+08 -5.39748230e+01 -3.63322007e+02 
 3.16227766e+08 -5.39552390e+01 -3.62964163e+02 
 3.54813389e+08 -5.39399504e+01 -3.62644053e+02 
 3.98107171e+08 -5.39279819e+01 -3.62357649e+02 
 4.46683592e+08 -5.39185891e+01 -3.62101409e+02 
 5.01187234e+08 -5.39112020e+01 -3.61872177e+02 
 5.62341325e+08 -5.39053815e+01 -3.61667120e+02 
 6.30957344e+08 -5.39007885e+01 -3.61483686e+02 
 7.07945784e+08 -5.38971595e+01 -3.61319570e+02 
 7.94328235e+08 -5.38942891e+01 -3.61172694e+02 
 8.91250938e+08 -5.38920168e+01 -3.61041183e+02 
 1.00000000e+09 -5.38902166e+01 -3.60923346e+02 
