 frequency       db(v(VOUT))     180*cph(v(VOUT))/pi
 1.25892541e+05 -1.59198367e-01 -1.16135226e+01 
 1.41253754e+05 -1.99070101e-01 -1.29932357e+01 
 1.58489319e+05 -2.48753376e-01 -1.45265394e+01 
 1.77827941e+05 -3.10507638e-01 -1.62265623e+01 
 1.99526231e+05 -3.87030079e-01 -1.81060579e+01 
 2.23872114e+05 -4.81497852e-01 -2.01767705e+01 
 2.51188643e+05 -5.97592143e-01 -2.24486198e+01 
 2.81838293e+05 -7.39491313e-01 -2.49287098e+01 
 3.16227766e+05 -9.11818522e-01 -2.76202025e+01 
 3.54813389e+05 -1.11952883e+00 -3.05211494e+01 
 3.98107171e+05 -1.36772484e+00 -3.36234294e+01 
 4.46683592e+05 -1.66139929e+00 -3.69119995e+01 
 5.01187234e+05 -2.00511804e+00 -4.03646904e+01 
 5.62341325e+05 -2.40267547e+00 -4.39527488e+01 
 6.30957344e+05 -2.85677090e+00 -4.76422301e+01 
 7.07945784e+05 -3.36876209e+00 -5.13961778e+01 
 7.94328235e+05 -3.93854526e+00 -5.51773469e+01 
 8.91250938e+05 -4.56458767e+00 -5.89510801e+01 
 1.00000000e+06 -5.24410796e+00 -6.26879111e+01 
 1.12201845e+06 -5.97337032e+00 -6.63655473e+01 
 1.25892541e+06 -6.74803937e+00 -6.99700402e+01 
 1.41253754e+06 -7.56354241e+00 -7.34961453e+01 
 1.58489319e+06 -8.41539565e+00 -7.69470118e+01 
 1.77827941e+06 -9.29947037e+00 -8.03334258e+01 
 1.99526231e+06 -1.02121932e+01 -8.36728370e+01 
 2.23872114e+06 -1.11506869e+01 -8.69883601e+01 
 2.51188643e+06 -1.21128684e+01 -9.03078874e+01 
 2.81838293e+06 -1.30975232e+01 -9.36633987e+01 
 3.16227766e+06 -1.41043751e+01 -9.70905087e+01 
 3.54813389e+06 -1.51341764e+01 -1.00628276e+02 
 3.98107171e+06 -1.61888400e+01 -1.04319284e+02 
 4.46683592e+06 -1.72716551e+01 -1.08209985e+02 
 5.01187234e+06 -1.83876410e+01 -1.12351206e+02 
 5.62341325e+06 -1.95441186e+01 -1.16798441e+02 
 6.30957344e+06 -2.07515688e+01 -1.21611031e+02 
 7.07945784e+06 -2.20247356e+01 -1.26848788e+02 
 7.94328235e+06 -2.33837304e+01 -1.32565031e+02 
 8.91250938e+06 -2.48548525e+01 -1.38797295e+02 
 1.00000000e+07 -2.64713388e+01 -1.45558473e+02 
 1.12201845e+07 -2.82748707e+01 -1.52827392e+02 
 1.25892541e+07 -3.03183138e+01 -1.60530751e+02 
 1.41253754e+07 -3.26689955e+01 -1.68507391e+02 
 1.58489319e+07 -3.54115603e+01 -1.76452298e+02 
