 frequency       Tmag            Tphase         
 1.00000000e+00  6.90401233e+01 -3.20302115e-01 
 1.12201845e+00  6.90400881e+01 -3.59383915e-01 
 1.25892541e+00  6.90400439e+01 -4.03234015e-01 
 1.41253754e+00  6.90399882e+01 -4.52434072e-01 
 1.58489319e+00  6.90399181e+01 -5.07636647e-01 
 1.77827941e+00  6.90398298e+01 -5.69573827e-01 
 1.99526231e+00  6.90397187e+01 -6.39066895e-01 
 2.23872114e+00  6.90395788e+01 -7.17037151e-01 
 2.51188643e+00  6.90394027e+01 -8.04518042e-01 
 2.81838293e+00  6.90391810e+01 -9.02668731e-01 
 3.16227766e+00  6.90389020e+01 -1.01278928e+00 
 3.54813389e+00  6.90385507e+01 -1.13633762e+00 
 3.98107171e+00  6.90381084e+01 -1.27494851e+00 
 4.46683592e+00  6.90375518e+01 -1.43045463e+00 
 5.01187234e+00  6.90368511e+01 -1.60491017e+00 
 5.62341325e+00  6.90359692e+01 -1.80061693e+00 
 6.30957344e+00  6.90348591e+01 -2.02015328e+00 
 7.07945784e+00  6.90334620e+01 -2.26640618e+00 
 7.94328235e+00  6.90317039e+01 -2.54260635e+00 
 8.91250938e+00  6.90294915e+01 -2.85236671e+00 
 1.00000000e+01  6.90267078e+01 -3.19972415e+00 
 1.12201845e+01  6.90232060e+01 -3.58918428e+00 
 1.25892541e+01  6.90188014e+01 -4.02576903e+00 
 1.41253754e+01  6.90132627e+01 -4.51506594e+00 
 1.58489319e+01  6.90063000e+01 -5.06327822e+00 
 1.77827941e+01  6.89975503e+01 -5.67727323e+00 
 1.99526231e+01  6.89865600e+01 -6.36462643e+00 
 2.23872114e+01  6.89727635e+01 -7.13365640e+00 
 2.51188643e+01  6.89554568e+01 -7.99344442e+00 
 2.81838293e+01  6.89337667e+01 -8.95382998e+00 
 3.16227766e+01  6.89066135e+01 -1.00253702e+01 
 3.54813389e+01  6.88726693e+01 -1.12192477e+01 
 3.98107171e+01  6.88303099e+01 -1.25471071e+01 
 4.46683592e+01  6.87775634e+01 -1.40207962e+01 
 5.01187234e+01  6.87120576e+01 -1.56519848e+01 
 5.62341325e+01  6.86309713e+01 -1.74516322e+01 
 6.30957344e+01  6.85309963e+01 -1.94292818e+01 
 7.07945784e+01  6.84083219e+01 -2.15921696e+01 
 7.94328235e+01  6.82586536e+01 -2.39441621e+01 
 8.91250938e+01  6.80772826e+01 -2.64845768e+01 
 1.00000000e+02  6.78592196e+01 -2.92069924e+01 
 1.12201845e+02  6.75994019e+01 -3.20982168e+01 
 1.25892541e+02  6.72929720e+01 -3.51376278e+01 
 1.41253754e+02  6.69356094e+01 -3.82971181e+01 
 1.58489319e+02  6.65238777e+01 -4.15418240e+01 
 1.77827941e+02  6.60555360e+01 -4.48316995e+01 
 1.99526231e+02  6.55297585e+01 -4.81238176e+01 
 2.23872114e+02  6.49472183e+01 -5.13751070e+01 
 2.51188643e+02  6.43100195e+01 -5.45451102e+01 
 2.81838293e+02  6.36214890e+01 -5.75983462e+01 
 3.16227766e+02  6.28858723e+01 -6.05059677e+01 
 3.54813389e+02  6.21079878e+01 -6.32465765e+01 
 3.98107171e+02  6.12928909e+01 -6.58062416e+01 
 4.46683592e+02  6.04455894e+01 -6.81778926e+01 
 5.01187234e+02  5.95708282e+01 -7.03603142e+01 
 5.62341325e+02  5.86729484e+01 -7.23569651e+01 
 6.30957344e+02  5.77558122e+01 -7.41747907e+01 
 7.07945784e+02  5.68227788e+01 -7.58231458e+01 
 7.94328235e+02  5.58767181e+01 -7.73128853e+01 
 8.91250938e+02  5.49200461e+01 -7.86556387e+01 
 1.00000000e+03  5.39547736e+01 -7.98632617e+01 
 1.12201845e+03  5.29825579e+01 -8.09474408e+01 
 1.25892541e+03  5.20047551e+01 -8.19194230e+01 
 1.41253754e+03  5.10224681e+01 -8.27898441e+01 
 1.58489319e+03  5.00365898e+01 -8.35686300e+01 
 1.77827941e+03  4.90478398e+01 -8.42649522e+01 
 1.99526231e+03  4.80567969e+01 -8.48872199e+01 
 2.23872114e+03  4.70639249e+01 -8.54430983e+01 
 2.51188643e+03  4.60695952e+01 -8.59395418e+01 
 2.81838293e+03  4.50741045e+01 -8.63828381e+01 
 3.16227766e+03  4.40776898e+01 -8.67786567e+01 
 3.54813389e+03  4.30805398e+01 -8.71320984e+01 
 3.98107171e+03  4.20828049e+01 -8.74477460e+01 
 4.46683592e+03  4.10846049e+01 -8.77297119e+01 
 5.01187234e+03  4.00860353e+01 -8.79816835e+01 
 5.62341325e+03  3.90871718e+01 -8.82069661e+01 
 6.30957344e+03  3.80880746e+01 -8.84085221e+01 
 7.07945784e+03  3.70887919e+01 -8.85890067e+01 
 7.94328235e+03  3.60893617e+01 -8.87508012e+01 
 8.91250938e+03  3.50898142e+01 -8.88960431e+01 
 1.00000000e+04  3.40901736e+01 -8.90266526e+01 
 1.12201845e+04  3.30904589e+01 -8.91443581e+01 
 1.25892541e+04  3.20906854e+01 -8.92507181e+01 
 1.41253754e+04  3.10908651e+01 -8.93471414e+01 
 1.58489319e+04  3.00910076e+01 -8.94349059e+01 
 1.77827941e+04  2.90911203e+01 -8.95151748e+01 
 1.99526231e+04  2.80912095e+01 -8.95890125e+01 
 2.23872114e+04  2.70912797e+01 -8.96573981e+01 
 2.51188643e+04  2.60913348e+01 -8.97212393e+01 
 2.81838293e+04  2.50913776e+01 -8.97813820e+01 
 3.16227766e+04  2.40914105e+01 -8.98386238e+01 
 3.54813389e+04  2.30914352e+01 -8.98937258e+01 
